title,topic,prob
A biomass map of the Brazilian Amazon from multisource remote sensing,topic  45,0.102
A biomass map of the Brazilian Amazon from multisource remote sensing,topic  47,0.123
A biomass map of the Brazilian Amazon from multisource remote sensing,topic  49,0.285
"A combination of climate, tree diversity and local human disturbance determine the stability of dry Afromontane forests",topic  15,0.348
"A combination of climate, tree diversity and local human disturbance determine the stability of dry Afromontane forests",topic  24,0.065
"A combination of climate, tree diversity and local human disturbance determine the stability of dry Afromontane forests",topic  32,0.111
"A combination of climate, tree diversity and local human disturbance determine the stability of dry Afromontane forests",topic  34,0.151
"A combination of climate, tree diversity and local human disturbance determine the stability of dry Afromontane forests",topic  38,0.227
"A combination of climate, tree diversity and local human disturbance determine the stability of dry Afromontane forests",topic  50,0.052
A combined GIS-based remote sensing and wireline log data analysis for water resource management in the economic capital district of Cameroon,topic  19,0.277
A combined GIS-based remote sensing and wireline log data analysis for water resource management in the economic capital district of Cameroon,topic  27,0.146
A combined GIS-based remote sensing and wireline log data analysis for water resource management in the economic capital district of Cameroon,topic  29,0.421
A combined GIS-based remote sensing and wireline log data analysis for water resource management in the economic capital district of Cameroon,topic  33,0.066
A comparative study of disaster management information systems,topic  5,0.194
A comparative study of disaster management information systems,topic  18,0.346
A comparative study of disaster management information systems,topic  22,0.272
A comparative study of disaster management information systems,topic  39,0.182
A comparison of geospatially modeled fire behavior and fire management utility of three data sources in the southeastern United States,topic  44,0.97
A comparison of multispectral aerial and satellite imagery for mapping intertidal seaweed communities,topic  13,0.136
A comparison of multispectral aerial and satellite imagery for mapping intertidal seaweed communities,topic  25,0.118
A comparison of multispectral aerial and satellite imagery for mapping intertidal seaweed communities,topic  42,0.542
A comparison of multispectral aerial and satellite imagery for mapping intertidal seaweed communities,topic  49,0.112
A comparison of multispectral aerial and satellite imagery for mapping intertidal seaweed communities,topic  50,0.068
A comprehensive assessment of precipitation products: Temporal and spatial analyses over terrestrial biomes in Northeastern Brazil,topic  47,0.931
A conceptual framework for the dynamic modeling of time-resolved phenotypes for sets of genotype-environment-management combinations: a model library,topic  26,0.228
A conceptual framework for the dynamic modeling of time-resolved phenotypes for sets of genotype-environment-management combinations: a model library,topic  27,0.496
A conceptual framework for the dynamic modeling of time-resolved phenotypes for sets of genotype-environment-management combinations: a model library,topic  41,0.186
A conceptual framework for the dynamic modeling of time-resolved phenotypes for sets of genotype-environment-management combinations: a model library,topic  46,0.085
A conceptual framework for the governance of multiple ecosystem services in agricultural landscapes,topic  11,0.096
A conceptual framework for the governance of multiple ecosystem services in agricultural landscapes,topic  22,0.564
A conceptual framework for the governance of multiple ecosystem services in agricultural landscapes,topic  30,0.267
A conceptual review of risk communication network for protecting immigrant knowledge workers,topic  16,0.417
A conceptual review of risk communication network for protecting immigrant knowledge workers,topic  18,0.468
A conceptual review of risk communication network for protecting immigrant knowledge workers,topic  39,0.109
A conservation success story in the otherwise dire megafauna extinction crisis: The Asiatic lion (<i>Panthera leo persica</i>) of Gir forest,topic  25,0.827
A conservation success story in the otherwise dire megafauna extinction crisis: The Asiatic lion (<i>Panthera leo persica</i>) of Gir forest,topic  38,0.163
A continuous satellite-derived measure of global terrestrial primary production,topic  10,0.061
A continuous satellite-derived measure of global terrestrial primary production,topic  15,0.11
A continuous satellite-derived measure of global terrestrial primary production,topic  20,0.246
A continuous satellite-derived measure of global terrestrial primary production,topic  24,0.113
A continuous satellite-derived measure of global terrestrial primary production,topic  34,0.12
A continuous satellite-derived measure of global terrestrial primary production,topic  49,0.326
A damage-based crop insurance system for flash flooding: a satellite remote sensing and econometric approach,topic  13,0.094
A damage-based crop insurance system for flash flooding: a satellite remote sensing and econometric approach,topic  39,0.591
A damage-based crop insurance system for flash flooding: a satellite remote sensing and econometric approach,topic  41,0.129
A damage-based crop insurance system for flash flooding: a satellite remote sensing and econometric approach,topic  48,0.146
A decadal (2008-2017) daily evapotranspiration data set of 1 km spatial resolution and spatial completeness across the North China Plain using TSEB and data fusion,topic  7,0.259
A decadal (2008-2017) daily evapotranspiration data set of 1 km spatial resolution and spatial completeness across the North China Plain using TSEB and data fusion,topic  10,0.282
A decadal (2008-2017) daily evapotranspiration data set of 1 km spatial resolution and spatial completeness across the North China Plain using TSEB and data fusion,topic  15,0.244
A decadal (2008-2017) daily evapotranspiration data set of 1 km spatial resolution and spatial completeness across the North China Plain using TSEB and data fusion,topic  41,0.066
A decadal (2008-2017) daily evapotranspiration data set of 1 km spatial resolution and spatial completeness across the North China Plain using TSEB and data fusion,topic  49,0.145
A decision analysis approach for risk management of near-earth objects,topic  21,0.978
A design of real-time unipath polarization imaging system based on Wollaston prism,topic  9,0.693
A design of real-time unipath polarization imaging system based on Wollaston prism,topic  28,0.303
A detection approach for late-autumn shoots of litchi based on unmanned aerial vehicle (UAV) remote sensing,topic  13,0.65
A detection approach for late-autumn shoots of litchi based on unmanned aerial vehicle (UAV) remote sensing,topic  28,0.269
A disaster information and monitoring system utilizing earth observation,topic  14,0.305
A disaster information and monitoring system utilizing earth observation,topic  18,0.219
A disaster information and monitoring system utilizing earth observation,topic  20,0.282
A disaster information and monitoring system utilizing earth observation,topic  39,0.188
A dynamic bio-economic model for analyzing deforestation and degradation: An application to woodlands in Uganda,topic  30,0.826
A dynamic bio-economic model for analyzing deforestation and degradation: An application to woodlands in Uganda,topic  32,0.107
A field based statistical approach for validating a remotely sensed mangrove forest classification scheme,topic  1,0.169
A field based statistical approach for validating a remotely sensed mangrove forest classification scheme,topic  13,0.164
A field based statistical approach for validating a remotely sensed mangrove forest classification scheme,topic  32,0.116
A field based statistical approach for validating a remotely sensed mangrove forest classification scheme,topic  40,0.261
A field based statistical approach for validating a remotely sensed mangrove forest classification scheme,topic  45,0.189
A field based statistical approach for validating a remotely sensed mangrove forest classification scheme,topic  50,0.052
A flash flood detected area using classification-based image processing for sentinel-2 satellites data: A case study of Zafaraana Road at Red Sea,topic  13,0.107
A flash flood detected area using classification-based image processing for sentinel-2 satellites data: A case study of Zafaraana Road at Red Sea,topic  28,0.486
A flash flood detected area using classification-based image processing for sentinel-2 satellites data: A case study of Zafaraana Road at Red Sea,topic  36,0.073
A flash flood detected area using classification-based image processing for sentinel-2 satellites data: A case study of Zafaraana Road at Red Sea,topic  39,0.327
A framework for assessing the potential of remote-sensed gravity to provide new insight on the hydrology of the Murray-Darling Basin,topic  14,0.053
A framework for assessing the potential of remote-sensed gravity to provide new insight on the hydrology of the Murray-Darling Basin,topic  20,0.291
A framework for assessing the potential of remote-sensed gravity to provide new insight on the hydrology of the Murray-Darling Basin,topic  29,0.443
A framework for assessing the potential of remote-sensed gravity to provide new insight on the hydrology of the Murray-Darling Basin,topic  34,0.094
A framework for assessing the potential of remote-sensed gravity to provide new insight on the hydrology of the Murray-Darling Basin,topic  47,0.112
A framework to integrate innovations in invasion science for proactive management,topic  20,0.153
A framework to integrate innovations in invasion science for proactive management,topic  22,0.743
A framework to integrate innovations in invasion science for proactive management,topic  50,0.097
A fully integrated reservoir/pipeline network model and its application on the evaluation of subsea water separation performance,topic  9,0.121
A fully integrated reservoir/pipeline network model and its application on the evaluation of subsea water separation performance,topic  10,0.1
A fully integrated reservoir/pipeline network model and its application on the evaluation of subsea water separation performance,topic  18,0.066
A fully integrated reservoir/pipeline network model and its application on the evaluation of subsea water separation performance,topic  22,0.058
A fully integrated reservoir/pipeline network model and its application on the evaluation of subsea water separation performance,topic  29,0.069
A fully integrated reservoir/pipeline network model and its application on the evaluation of subsea water separation performance,topic  35,0.472
A fully integrated reservoir/pipeline network model and its application on the evaluation of subsea water separation performance,topic  39,0.069
A genetic algorithm approach for solving the daily photograph selection problem of the SPOT5 satellite,topic  4,0.411
A genetic algorithm approach for solving the daily photograph selection problem of the SPOT5 satellite,topic  5,0.577
A geostationary thermal infrared sensor to monitor the lowermost troposphere: O<sub>3</sub> and CO retrieval studies,topic  3,0.457
A geostationary thermal infrared sensor to monitor the lowermost troposphere: O<sub>3</sub> and CO retrieval studies,topic  7,0.538
A global map of planting years of plantations,topic  11,0.09
A global map of planting years of plantations,topic  32,0.087
A global map of planting years of plantations,topic  38,0.216
A global map of planting years of plantations,topic  41,0.118
A global map of planting years of plantations,topic  49,0.448
A grey relational model for soil erosion vulnerability assessment in subwatershed of lesser Himalayan region,topic  17,0.089
A grey relational model for soil erosion vulnerability assessment in subwatershed of lesser Himalayan region,topic  33,0.61
A grey relational model for soil erosion vulnerability assessment in subwatershed of lesser Himalayan region,topic  40,0.098
A grey relational model for soil erosion vulnerability assessment in subwatershed of lesser Himalayan region,topic  46,0.171
A high resolution broad scale spatial indicator of grain growing profitability for natural resource planning,topic  30,0.242
A high resolution broad scale spatial indicator of grain growing profitability for natural resource planning,topic  35,0.075
A high resolution broad scale spatial indicator of grain growing profitability for natural resource planning,topic  41,0.397
A high resolution broad scale spatial indicator of grain growing profitability for natural resource planning,topic  48,0.118
A high resolution broad scale spatial indicator of grain growing profitability for natural resource planning,topic  49,0.164
A high-resolution physical modelling approach to assess runoff and soil erosion in vineyards under different soil managements,topic  22,0.149
A high-resolution physical modelling approach to assess runoff and soil erosion in vineyards under different soil managements,topic  33,0.683
A high-resolution physical modelling approach to assess runoff and soil erosion in vineyards under different soil managements,topic  41,0.078
A high-resolution physical modelling approach to assess runoff and soil erosion in vineyards under different soil managements,topic  50,0.086
"A high-resolution record of coastal clouds and fog and their role in plant distributions over San Clemente Island, California",topic  7,0.076
"A high-resolution record of coastal clouds and fog and their role in plant distributions over San Clemente Island, California",topic  15,0.247
"A high-resolution record of coastal clouds and fog and their role in plant distributions over San Clemente Island, California",topic  25,0.108
"A high-resolution record of coastal clouds and fog and their role in plant distributions over San Clemente Island, California",topic  26,0.1
"A high-resolution record of coastal clouds and fog and their role in plant distributions over San Clemente Island, California",topic  30,0.253
